"ID","round","phase","OB_1","OB_2","OB_3","OB_4","AS_1","AS_2","AS_3","AS_4","dwmean_1","dwmean_2","dwmean_3","dwmean_4","RT_1","RT_2","RT_3","RT_4","payoff","accuracy","performance","novelty","type","afterbreak","breakR"
"H1251",1,"1",14,16,16,18,37,22,32,31,0.170789473684211,0.331695652173913,0.257181818181818,0.36028125,22.214,10.359,13.493,12.496,3,1,36,"0","H",0,7
"H1251",1,"2",18,20,20,17,55,91,85,37,0.257392857142857,0.23925,0.334325581395349,0.279526315789474,27.409,29.079,30.311,13.758,2,1,24,"0","H",0,7
"H1251",2,"3",14,19,10,14,27,42,13,25,0.335428571428571,0.312,0.278642857142857,0.277807692307692,17.753,14.82,4.93,8.33,4.75,0.5,19,"0","H",0,7
"H1251",2,"4",16,15,13,7,31,43,12,10,0.18421875,0.182272727272727,0.261538461538462,0.235545454545455,12.636,16.646,4.133,3.402,2,1,24,"0","H",0,7
"H1251",3,"5",20,18,18,11,59,43,43,16,0.339566666666667,0.305977272727273,0.268022727272727,0.292647058823529,22.121,14.913,14.057,6.82515300323069,5.25,0,21,"0","H",0,7
"H1251",3,"6",19,8,19,9,50,11,61,10,0.28478431372549,0.244416666666667,0.248596774193548,0.360272727272727,15.351,4.524,16.255,5.95015300323069,5.5,0,22,"0","H",0,7
"H1251",4,"7",13,3,5,11,20,2,4,15,0.171571428571429,0.291666666666667,0.2996,0.1579375,7.098,1.436,1.763,3.166,2,1,24,"0","H",0,7
"H1251",4,"8",14,18,19,20,29,39,33,96,0.247966666666667,0.2761,0.337264705882353,0.321010309278351,7.752,12.262,12.278,32.246,5.25,0.5,21,"0","H",0,7
"H1251",5,"9",20,19,11,17,64,34,18,34,0.306953846153846,0.325371428571429,0.338315789473684,0.287971428571429,22.979,12.589,7.753,11.623,5,0,20,"0","H",0,7
"H1251",5,"10",18,3,6,9,28,3,10,10,0.280275862068966,0.2925,0.249636363636364,0.258090909090909,8.206,2.558,4.29,3.82915300323069,4,1,48,"0","H",0,7
"H1251",6,"11",20,4,7,20,46,5,10,122,0.273510638297872,0.132666666666667,0.174454545454545,0.383658536585366,14.68,1.669,2.34,48.828,2.5,0.5,10,"0","H",0,7
"H1251",6,"12",14,14,15,20,32,26,32,87,0.247272727272727,0.297555555555556,0.281787878787879,0.324979011400349,8.519,8.688,10.297,32.7651530032307,5,1,60,"0","H",0,7
"H1251",7,"13",19,5,7,13,55,5,10,18,0.250160714285714,0.124833333333333,0.306272727272727,0.339105263157895,15.491,1.31,3.962,6.94915300323069,3,1,36,"1","H",1,7
"H1251",7,"14",6,7,13,7,9,7,19,9,0.3307,0.181375,0.2184,0.2902,3.307,2.324,4.664,3.698,2,1,24,"1","H",1,7
"H1251",8,"15",17,5,10,9,32,4,10,9,0.196666666666667,0.287,0.309181818181818,0.2465,7.629,2.402,4.259,3.13315300323069,4,1,48,"1","H",1,7
"H1251",8,"16",18,6,5,8,46,7,5,10,0.31663829787234,0.3375,0.449666666666667,0.320545454545455,15.818,4.042,3.79,4.462,4.25,0.5,17,"1","H",1,7
"H1251",9,"17",20,11,9,3,81,24,17,5,0.307621951219512,0.29956,0.390055555555556,0.322333333333333,25.647,9.765,8.051,2.901,5.25,0.5,21,"1","H",1,7
"H1251",9,"18",19,18,8,4,32,50,11,4,0.263333333333333,0.364529411764706,0.300333333333333,0.2838,9.016,19.626,5.491,2.42715300323069,4.25,0,17,"1","H",1,7
"H1251",10,"19",18,4,4,14,52,5,6,34,0.288471698113208,0.278166666666667,0.178142857142857,0.221514285714286,16.552,2.808,1.965,8.68515300323069,2,1,24,"1","H",1,7
"H1251",10,"20",18,7,9,20,47,8,8,78,0.265833333333333,0.150888888888889,0.248,0.330949367088608,12.995,1.919,2.778,26.472,2.75,0.5,11,"1","H",1,7
"H1251",11,"21",20,19,18,8,82,51,27,12,0.298843373493976,0.276,0.299142857142857,0.264384615384615,25.335,15.32,9.936,4.432,4.5,0,18,"1","H",1,7
"H1251",11,"22",19,9,20,12,35,12,38,15,0.262611111111111,0.307153846153846,0.272384615384615,0.249625,10,5.429,11.559,4.72015300323069,4.5,0.5,18,"1","H",1,7
"H1251",12,"23",18,4,3,11,43,3,3,11,0.172636363636364,0.1325,0.2925,0.175846083602558,8.127,1.436,1.529,2.81215300323069,2,1,24,"1","H",1,7
"H1251",12,"24",19,8,20,19,54,14,32,35,0.219472727272727,0.1664,0.274181818181818,0.284277777777778,12.445,3.338,9.656,11.1591530032307,3,1,36,"1","H",1,7
"H1251",13,"25",11,4,7,3,13,5,9,4,0.2875,0.413333333333333,0.3494,0.363030600646138,4.087,3.541,4.149,2.62615300323069,3.5,0.5,14,"1","H",1,7
"H1251",13,"26",20,2,9,19,55,2,12,35,0.351017857142857,0.556333333333333,0.253153846153846,0.299861111111111,19.766,2.793,4.367,11.5771530032307,4,1,48,"1","H",1,7
"H1251",14,"27",20,3,4,16,82,3,3,23,0.28644578313253,0.18325,0.2575,0.331458333333333,23.946,1.576,1.56,8.88015300323069,4.25,0.5,17,"1","H",1,7
"H1251",14,"28",19,19,7,15,40,38,15,23,0.303243902439024,0.295205128205128,0.1666875,0.279458333333333,12.433,12.387,3.993,8.19,4.75,0,19,"1","H",1,7
"H1251",15,"29",15,17,3,1,26,27,3,0,0.244407407407407,0.319857142857143,0.38225,0.343,7.098,9.86,2.262,1.076,4.5,0,18,"1","H",1,7
"H1251",15,"30",19,17,10,17,56,27,15,24,0.26659649122807,0.274142857142857,0.3226875,0.2846,16.707,8.565,6.037,8.54315300323069,5.25,0.5,21,"1","H",1,7
